Age Group,Gender,Occupation,Monthly Income,City Tier,Alcohol Consumption Frequency,Preferred Alcohol Types,Likelihood to Try New Cocktail,Purchase Channel,Preferred Consumption Setting,Interested Cocktail Flavours,Preferred Packaging,Preferred Pack Size,Interest in Mixed Flavour Packs,Ranking of Purchase Factors,Importance of Sustainability,Prefers Social Media Brands,Willingness to Pay (per unit),Likelihood to Recommend,Challenges in Choosing Cocktails,Buys on Bundle Deal,Willing to Switch Brand,Likelihood to Buy for Group Events,Would Join Loyalty Program,Preferred Channel (for purchase)
45-54,Male,Working Professional,"50,000–1,00,000",Metro,Frequently,"Vodka,Beer,Whiskey",Neutral,Restaurant,At home,"Litchi,Berry,Mango",Glass bottle,Pack of 6,Interested,"Brand,Price,Flavour variety,Social cause,Packaging",Slightly,No,>₹300,Very likely,Not enough information/branding,Maybe,Maybe,Occasionally,Yes,Online
18-24,Male,Student,"20,000–50,000",Tier 1,Rarely,Rum,Neutral,Retail shop,Social gatherings,"Coffee,Guava",Can,Pack of 24,Neutral,"Price,Flavour variety,Brand,Packaging,Social cause",Moderately,No,₹100–₹200,Very likely,"Other,Limited flavour options",Yes,Yes,Occasionally,No,Retail shop
18-24,Male,Working Professional,"20,000–50,000",Metro,Occasionally,Cocktails,Neutral,Retail shop,At home,"Guava,Lime,Orange",Can,Pack of 24,Interested,"Flavour variety,Price,Brand,Packaging,Social cause",Highly,Yes,₹200–₹300,Likely,"Lack of availability,Limited flavour options,Health concerns",No,No,Occasionally,Yes,Online
18-24,Female,Working Professional,"20,000–50,000",Tier 3/Rural,Occasionally,Whiskey,Neutral,Pub,Social gatherings,Pineapple,Glass bottle,Pack of 6,Interested,"Brand,Price,Flavour variety,Social cause,Packaging",Not at all,Doesn’t matter,₹100–₹200,Neutral,"Other,Not enough information/branding,Lack of availability",No,Yes,Always,No,Retail shop
35-44,Male,Working Professional,"20,000–50,000",Tier 1,Occasionally,"Whiskey,Rum,Vodka",Unlikely,Retail shop,Restaurants,"Pineapple,Lime,Litchi",Glass bottle,Pack of 2,Interested,"Brand,Price,Flavour variety,Social cause,Packaging",Highly,Doesn’t matter,₹100–₹200,Unlikely,"Lack of availability,Limited flavour options",Maybe,Maybe,Occasionally,Yes,Retail shop
45-54,Male,Working Professional,"50,000–1,00,000",Tier 3/Rural,Rarely,"Cocktails,Whiskey,Beer",Unlikely,Bar,Outdoors,"Mango,Pineapple,Orange",Glass bottle,Pack of 6,Not interested,"Brand,Flavour variety,Price,Social cause,Packaging",Not at all,Doesn’t matter,₹100–₹200,Neutral,Health concerns,Yes,Yes,Often,No,Restaurant
45-54,Male,Working Professional,"<20,000",Tier 3/Rural,Occasionally,"Whiskey,Beer,Rum",Very unlikely,Retail shop,Restaurants,"Berry,Mint,Litchi",Glass bottle,Pack of 12,Interested,"Brand,Price,Flavour variety,Packaging,Social cause",Slightly,Doesn’t matter,>₹300,Neutral,"Poor packaging,Other",Yes,No,Occasionally,No,Retail shop
25-34,Male,Working Professional,">1,00,000",Tier 1,Frequently,"Beer,Vodka",Likely,Bar,Social gatherings,"Mango,Classic",Can,Pack of 2,Interested,"Brand,Price,Flavour variety,Social cause,Packaging",Highly,Yes,₹100–₹200,Likely,Not enough information/branding,Maybe,No,Often,Yes,Online
55+,Male,Working Professional,"20,000–50,000",Tier 3/Rural,Rarely,Whiskey,Very unlikely,Pub,At home,"Pineapple,Mint",Can,Pack of 6,Very interested,"Flavour variety,Brand,Price,Packaging,Social cause",Highly,Yes,₹200–₹300,Likely,"Lack of availability,Not enough information/branding",Yes,Maybe,Occasionally,Yes,Retail shop
18-24,Male,Working Professional,"20,000–50,000",Metro,Occasionally,"Beer,Gin,Rum",Neutral,Other,Restaurants,"Mango,Classic,Coffee",Can,Pack of 6,Interested,"Flavour variety,Price,Brand,Social cause,Packaging",Highly,Yes,₹200–₹300,Very unlikely,"High price,Poor packaging,Health concerns",Yes,No,Occasionally,No,Retail shop
25-34,Female,Working Professional,"20,000–50,000",Tier 1,Frequently,"Beer,Whiskey",Very likely,Bar,Bars/Pubs,"Orange,Guava,Berry",No preference,Pack of 6,Slightly interested,"Price,Brand,Flavour variety,Packaging,Social cause",Highly,Doesn’t matter,>₹300,Unlikely,"Other,Lack of availability,High price",Yes,Yes,Occasionally,No,Bar
25-34,Male,Student,"<20,000",Tier 3/Rural,Occasionally,"Beer,Whiskey",Likely,Online,Social gatherings,"Berry,Lime,Pineapple",Can,Pack of 6,Interested,"Brand,Price,Flavour variety,Packaging,Social cause",Moderately,Yes,₹100–₹200,Likely,"Not enough information/branding,High price",Maybe,No,Occasionally,Yes,Bar
25-34,Male,Entrepreneur,"20,000–50,000",Tier 3/Rural,Occasionally,Gin,Neutral,Bar,At home,Classic,Glass bottle,Pack of 2,Interested,"Flavour variety,Price,Brand,Social cause,Packaging",Not at all,Doesn’t matter,₹100–₹200,Likely,"Limited flavour options,High price,Lack of availability",Yes,Yes,Occasionally,No,Retail shop
25-34,Female,Working Professional,"50,000–1,00,000",Tier 3/Rural,Occasionally,Whiskey,Likely,Retail shop,Social gatherings,Mango,No preference,Pack of 6,Neutral,"Brand,Price,Flavour variety,Packaging,Social cause",Moderately,No,>₹300,Very unlikely,"Health concerns,High price",Maybe,Yes,Often,Yes,Bar
25-34,Female,Working Professional,"20,000–50,000",Tier 3/Rural,Occasionally,"Rum,Whiskey",Unlikely,Bar,Bars/Pubs,"Litchi,Mint,Guava",Can,Pack of 2,Interested,"Flavour variety,Price,Brand,Packaging,Social cause",Highly,Yes,₹200–₹300,Neutral,"Health concerns,Other",Yes,Yes,Always,No,Retail shop
25-34,Female,Working Professional,"20,000–50,000",Tier 1,Occasionally,"Vodka,Beer,Cocktails",Likely,Bar,Social gatherings,"Classic,Orange,Lime",Glass bottle,Pack of 6,Very interested,"Brand,Flavour variety,Price,Packaging,Social cause",Highly,Doesn’t matter,₹100–₹200,Neutral,"High price,Lack of availability",Yes,No,Never,Yes,Retail shop
25-34,Female,Student,"50,000–1,00,000",Metro,Occasionally,"Vodka,Whiskey,Beer",Neutral,Other,Social gatherings,Pineapple,Can,Pack of 6,Neutral,"Brand,Price,Flavour variety,Packaging,Social cause",Slightly,Yes,₹200–₹300,Very likely,Health concerns,Yes,Yes,Always,Yes,Retail shop
35-44,Female,Homemaker,"<20,000",Tier 1,Occasionally,Whiskey,Likely,Online,Social gatherings,"Orange,Guava",No preference,Pack of 12,Interested,"Flavour variety,Brand,Price,Packaging,Social cause",Moderately,Yes,₹100–₹200,Unlikely,High price,Yes,Yes,Occasionally,Yes,Online
25-34,Female,Working Professional,">1,00,000",Tier 2,Never,"Whiskey,Gin,Beer",Likely,Restaurant,Outdoors,"Orange,Berry,Classic",Can,Pack of 6,Very interested,"Brand,Flavour variety,Price,Packaging,Social cause",Highly,Doesn’t matter,₹100–₹200,Unlikely,"Lack of availability,High price,Limited flavour options",Yes,Maybe,Occasionally,Yes,Restaurant
35-44,Male,Working Professional,"20,000–50,000",Tier 1,Never,"Beer,Cocktails",Neutral,Restaurant,Restaurants,Guava,Glass bottle,Pack of 12,Slightly interested,"Price,Brand,Flavour variety,Social cause,Packaging",Highly,Yes,₹200–₹300,Likely,"Lack of availability,High price",Yes,Yes,Occasionally,Yes,Online
18-24,Female,Working Professional,"20,000–50,000",Tier 3/Rural,Occasionally,"Vodka,Beer,Gin",Neutral,Retail shop,At home,Orange,Glass bottle,Pack of 6,Not interested,"Brand,Flavour variety,Price,Packaging,Social cause",Highly,Doesn’t matter,₹100–₹200,Likely,Not enough information/branding,Yes,Maybe,Often,No,Online
18-24,Male,Working Professional,"20,000–50,000",Tier 3/Rural,Rarely,Rum,Unlikely,Pub,Outdoors,"Mango,Guava",Glass bottle,Pack of 6,Neutral,"Price,Flavour variety,Brand,Packaging,Social cause",Slightly,Doesn’t matter,₹100–₹200,Very likely,Health concerns,Yes,Maybe,Occasionally,No,Retail shop
45-54,Female,Working Professional,"50,000–1,00,000",Tier 2,Occasionally,"Gin,Whiskey",Neutral,Pub,Outdoors,Orange,Glass bottle,Pack of 6,Slightly interested,"Brand,Flavour variety,Price,Social cause,Packaging",Extremely,Yes,>₹300,Neutral,"Not enough information/branding,High price,Lack of availability",Yes,Yes,Occasionally,Yes,Retail shop
18-24,Male,Working Professional,"50,000–1,00,000",Tier 3/Rural,Rarely,"Cocktails,Beer",Neutral,Bar,At home,Mango,Glass bottle,Pack of 6,Slightly interested,"Price,Flavour variety,Brand,Packaging,Social cause",Moderately,Yes,₹200–₹300,Very likely,"Health concerns,Limited flavour options",Yes,No,Often,No,Other
18-24,Female,Working Professional,"20,000–50,000",Tier 3/Rural,Occasionally,Vodka,Very likely,Bar,Outdoors,"Guava,Pineapple,Litchi",Can,Pack of 2,Very interested,"Price,Brand,Flavour variety,Packaging,Social cause",Extremely,Doesn’t matter,₹200–₹300,Neutral,"Not enough information/branding,High price,Other",No,Maybe,Often,No,Online
25-34,Male,Working Professional,"20,000–50,000",Tier 2,Frequently,"Whiskey,Beer,Vodka",Very unlikely,Pub,Bars/Pubs,Guava,Glass bottle,Pack of 24,Very interested,"Price,Brand,Flavour variety,Packaging,Social cause",Highly,Doesn’t matter,₹200–₹300,Neutral,"Lack of availability,Limited flavour options",Maybe,No,Occasionally,Yes,Bar
55+,Female,Working Professional,"50,000–1,00,000",Tier 1,Never,"Cocktails,Whiskey",Very likely,Retail shop,Bars/Pubs,"Pineapple,Guava,Classic",Can,Pack of 6,Slightly interested,"Flavour variety,Brand,Price,Packaging,Social cause",Moderately,Doesn’t matter,₹100–₹200,Likely,"High price,Limited flavour options,Lack of availability",Yes,Maybe,Often,No,Online
35-44,Male,Student,">1,00,000",Tier 2,Occasionally,"Gin,Vodka,Whiskey",Very likely,Retail shop,Restaurants,Orange,No preference,Pack of 12,Interested,"Price,Flavour variety,Brand,Packaging,Social cause",Moderately,Doesn’t matter,₹200–₹300,Very likely,"Not enough information/branding,Lack of availability",Yes,Maybe,Always,Yes,Retail shop
35-44,Male,Entrepreneur,">1,00,000",Metro,Rarely,Rum,Likely,Online,Social gatherings,"Berry,Guava,Classic",Can,Pack of 12,Neutral,"Brand,Price,Flavour variety,Social cause,Packaging",Highly,Doesn’t matter,<₹100,Neutral,"Not enough information/branding,Limited flavour options,Lack of availability",Maybe,Yes,Never,Yes,Bar
25-34,Male,Working Professional,"20,000–50,000",Metro,Frequently,Rum,Neutral,Retail shop,At home,"Coffee,Mango,Guava",Can,Pack of 2,Interested,"Brand,Flavour variety,Price,Social cause,Packaging",Slightly,No,₹200–₹300,Neutral,"Not enough information/branding,Health concerns",No,Maybe,Occasionally,Yes,Retail shop
55+,Female,Working Professional,"50,000–1,00,000",Metro,Occasionally,"Whiskey,Beer,Other",Likely,Pub,At home,"Orange,Mango",Glass bottle,Pack of 12,Interested,"Flavour variety,Price,Brand,Social cause,Packaging",Slightly,No,>₹300,Very likely,"Lack of availability,Health concerns,Limited flavour options",Maybe,Yes,Occasionally,No,Retail shop
25-34,Male,Working Professional,"20,000–50,000",Tier 1,Frequently,Gin,Likely,Pub,Social gatherings,"Mint,Guava,Mango",Can,Pack of 12,Interested,"Price,Flavour variety,Brand,Social cause,Packaging",Moderately,Yes,₹200–₹300,Neutral,"High price,Other,Not enough information/branding",Yes,Yes,Occasionally,Yes,Retail shop
45-54,Male,Student,"50,000–1,00,000",Metro,Occasionally,Gin,Very likely,Restaurant,At home,"Mango,Mint,Lime",No preference,Pack of 6,Interested,"Price,Flavour variety,Brand,Social cause,Packaging",Moderately,Yes,>₹300,Neutral,Lack of availability,Yes,Maybe,Always,Yes,Other
18-24,Male,Entrepreneur,"20,000–50,000",Tier 3/Rural,Occasionally,Beer,Likely,Restaurant,Outdoors,"Orange,Litchi",Can,Pack of 12,Very interested,"Price,Flavour variety,Brand,Social cause,Packaging",Highly,Doesn’t matter,<₹100,Very likely,"High price,Poor packaging,Limited flavour options",Maybe,Yes,Often,No,Online
18-24,Female,Homemaker,"<20,000",Metro,Occasionally,"Beer,Vodka,Whiskey",Likely,Retail shop,Bars/Pubs,"Classic,Pineapple,Orange",Glass bottle,Pack of 6,Very interested,"Price,Flavour variety,Brand,Packaging,Social cause",Extremely,Doesn’t matter,<₹100,Likely,"Not enough information/branding,Limited flavour options",Maybe,Maybe,Always,Yes,Retail shop
25-34,Male,Student,"20,000–50,000",Tier 1,Occasionally,"Whiskey,Beer,Cocktails",Very likely,Pub,Social gatherings,"Coffee,Mango",Glass bottle,Pack of 6,Neutral,"Brand,Flavour variety,Price,Social cause,Packaging",Not at all,Yes,₹100–₹200,Neutral,"Poor packaging,Limited flavour options",Maybe,Maybe,Occasionally,Yes,Bar
25-34,Male,Homemaker,"50,000–1,00,000",Metro,Occasionally,"Beer,Whiskey,Vodka",Likely,Retail shop,Restaurants,"Mint,Mango,Berry",No preference,Pack of 12,Interested,"Price,Flavour variety,Brand,Packaging,Social cause",Moderately,Doesn’t matter,<₹100,Neutral,High price,Yes,Yes,Always,Yes,Restaurant
45-54,Female,Student,">1,00,000",Tier 1,Rarely,"Vodka,Whiskey",Likely,Online,At home,"Guava,Classic",Glass bottle,Pack of 6,Very interested,"Brand,Price,Flavour variety,Packaging,Social cause",Not at all,Doesn’t matter,>₹300,Neutral,"Lack of availability,Limited flavour options",Yes,Maybe,Often,No,Retail shop
18-24,Male,Working Professional,"50,000–1,00,000",Metro,Rarely,"Beer,Vodka",Neutral,Bar,At home,"Orange,Pineapple",Glass bottle,Pack of 6,Interested,"Brand,Price,Flavour variety,Packaging,Social cause",Moderately,Yes,>₹300,Unlikely,Not enough information/branding,Yes,Maybe,Occasionally,Yes,Online
35-44,Male,Homemaker,"<20,000",Metro,Rarely,Beer,Neutral,Retail shop,Social gatherings,"Mango,Guava",No preference,Pack of 12,Neutral,"Brand,Price,Flavour variety,Social cause,Packaging",Slightly,No,>₹300,Very unlikely,"High price,Other,Health concerns",Maybe,Yes,Often,Yes,Retail shop
25-34,Female,Student,"20,000–50,000",Tier 3/Rural,Occasionally,"Beer,Whiskey,Rum",Very unlikely,Online,Social gatherings,"Classic,Litchi,Mango",No preference,Pack of 2,Neutral,"Price,Flavour variety,Brand,Social cause,Packaging",Not at all,Doesn’t matter,>₹300,Unlikely,"Limited flavour options,Health concerns,Lack of availability",No,Maybe,Often,Yes,Retail shop
25-34,Male,Homemaker,"<20,000",Tier 2,Occasionally,"Gin,Vodka",Neutral,Duty-free,Social gatherings,"Lime,Classic,Mango",No preference,Pack of 12,Interested,"Price,Flavour variety,Brand,Packaging,Social cause",Extremely,Doesn’t matter,₹200–₹300,Likely,"High price,Other,Not enough information/branding",Maybe,Yes,Often,No,Bar
25-34,Female,Working Professional,">1,00,000",Metro,Rarely,"Whiskey,Cocktails",Very likely,Restaurant,Restaurants,"Mango,Coffee,Mint",Glass bottle,Pack of 6,Very interested,"Flavour variety,Price,Brand,Social cause,Packaging",Highly,Yes,₹100–₹200,Likely,"Health concerns,Not enough information/branding,High price",Yes,No,Occasionally,No,Retail shop
45-54,Female,Student,"20,000–50,000",Tier 1,Rarely,"Vodka,Whiskey,Rum",Unlikely,Restaurant,At home,"Lime,Classic,Berry",Can,Pack of 2,Interested,"Flavour variety,Price,Brand,Packaging,Social cause",Extremely,Yes,₹100–₹200,Likely,Lack of availability,Yes,No,Often,No,Retail shop
35-44,Female,Working Professional,"20,000–50,000",Tier 3/Rural,Occasionally,Beer,Neutral,Online,Bars/Pubs,Litchi,Glass bottle,Pack of 6,Slightly interested,"Flavour variety,Price,Brand,Social cause,Packaging",Moderately,Doesn’t matter,₹100–₹200,Neutral,"Not enough information/branding,Limited flavour options,High price",Maybe,Maybe,Often,Yes,Bar
25-34,Male,Working Professional,"20,000–50,000",Tier 3/Rural,Rarely,"Rum,Whiskey,Vodka",Likely,Retail shop,At home,"Classic,Litchi",No preference,Pack of 12,Interested,"Price,Flavour variety,Brand,Social cause,Packaging",Moderately,Doesn’t matter,₹200–₹300,Very likely,"Not enough information/branding,Lack of availability,Poor packaging",Yes,Yes,Never,Yes,Retail shop
18-24,Female,Entrepreneur,"20,000–50,000",Tier 1,Occasionally,"Whiskey,Beer",Likely,Retail shop,At home,"Guava,Orange,Coffee",No preference,Pack of 12,Interested,"Flavour variety,Price,Brand,Packaging,Social cause",Extremely,No,>₹300,Neutral,Poor packaging,Maybe,Yes,Occasionally,Yes,Retail shop
25-34,Male,Working Professional,"50,000–1,00,000",Tier 2,Occasionally,"Whiskey,Vodka,Beer",Likely,Retail shop,Social gatherings,"Litchi,Mango,Orange",Glass bottle,Pack of 24,Very interested,"Brand,Price,Flavour variety,Packaging,Social cause",Highly,Doesn’t matter,₹200–₹300,Likely,Poor packaging,Yes,Yes,Often,No,Bar
18-24,Male,Other,"20,000–50,000",Metro,Rarely,"Cocktails,Whiskey,Beer",Likely,Duty-free,Restaurants,"Classic,Berry,Mint",No preference,Pack of 12,Interested,"Brand,Flavour variety,Price,Social cause,Packaging",Highly,Doesn’t matter,₹100–₹200,Likely,"Limited flavour options,Lack of availability,High price",Yes,Yes,Occasionally,No,Restaurant
18-24,Male,Working Professional,"20,000–50,000",Tier 2,Occasionally,"Beer,Gin,Cocktails",Very unlikely,Retail shop,Bars/Pubs,"Lime,Orange",No preference,Pack of 6,Neutral,"Brand,Price,Flavour variety,Social cause,Packaging",Extremely,Doesn’t matter,<₹100,Likely,"Not enough information/branding,Lack of availability,Limited flavour options",Yes,No,Often,Yes,Retail shop
25-34,Male,Working Professional,"20,000–50,000",Tier 3/Rural,Occasionally,Cocktails,Very likely,Retail shop,At home,"Pineapple,Mint",Glass bottle,Pack of 24,Very interested,"Price,Flavour variety,Brand,Packaging,Social cause",Not at all,Yes,₹200–₹300,Very likely,"Lack of availability,Not enough information/branding,Other",Maybe,No,Occasionally,Yes,Retail shop
25-34,Female,Entrepreneur,"50,000–1,00,000",Metro,Never,"Beer,Gin",Neutral,Bar,Bars/Pubs,"Guava,Berry,Lime",Can,Pack of 24,Neutral,"Brand,Flavour variety,Price,Social cause,Packaging",Moderately,No,₹200–₹300,Neutral,"Lack of availability,High price,Poor packaging",Maybe,Yes,Always,Yes,Retail shop
18-24,Female,Working Professional,"50,000–1,00,000",Tier 2,Rarely,"Beer,Whiskey,Vodka",Neutral,Restaurant,Social gatherings,"Classic,Lime,Berry",Can,Pack of 6,Interested,"Price,Flavour variety,Brand,Social cause,Packaging",Moderately,Doesn’t matter,₹200–₹300,Very likely,"High price,Not enough information/branding",Yes,Yes,Often,Yes,Bar
25-34,Male,Working Professional,"20,000–50,000",Tier 1,Frequently,"Whiskey,Other,Beer",Unlikely,Retail shop,Bars/Pubs,"Orange,Litchi,Mint",No preference,Pack of 24,Interested,"Brand,Price,Flavour variety,Packaging,Social cause",Highly,Doesn’t matter,>₹300,Very likely,"Limited flavour options,Lack of availability,Not enough information/branding",Yes,Maybe,Occasionally,Yes,Restaurant
35-44,Female,Working Professional,">1,00,000",Tier 2,Rarely,"Rum,Vodka",Unlikely,Restaurant,At home,"Mango,Guava",Glass bottle,Pack of 6,Very interested,"Flavour variety,Price,Brand,Social cause,Packaging",Slightly,Yes,₹100–₹200,Very likely,Limited flavour options,Yes,Maybe,Always,No,Restaurant
18-24,Male,Working Professional,"20,000–50,000",Metro,Rarely,"Beer,Cocktails,Whiskey",Neutral,Online,At home,Classic,Glass bottle,Pack of 6,Interested,"Flavour variety,Brand,Price,Packaging,Social cause",Highly,Yes,<₹100,Very likely,Limited flavour options,No,Maybe,Never,No,Retail shop
25-34,Female,Student,"20,000–50,000",Tier 3/Rural,Never,"Beer,Vodka",Unlikely,Retail shop,Bars/Pubs,Lime,Can,Pack of 6,Interested,"Flavour variety,Price,Brand,Social cause,Packaging",Moderately,Doesn’t matter,₹100–₹200,Likely,Limited flavour options,Yes,Yes,Always,No,Retail shop
18-24,Male,Entrepreneur,"20,000–50,000",Tier 1,Occasionally,"Whiskey,Beer,Vodka",Likely,Online,Bars/Pubs,Orange,Glass bottle,Pack of 12,Neutral,"Brand,Flavour variety,Price,Social cause,Packaging",Moderately,Doesn’t matter,₹100–₹200,Very unlikely,Limited flavour options,Yes,Maybe,Occasionally,Yes,Online
25-34,Male,Working Professional,"<20,000",Tier 3/Rural,Occasionally,"Vodka,Whiskey",Likely,Online,At home,Lime,Can,Pack of 12,Very interested,"Price,Flavour variety,Brand,Social cause,Packaging",Highly,Doesn’t matter,₹200–₹300,Likely,"Health concerns,Not enough information/branding",Maybe,Yes,Always,Yes,Retail shop
25-34,Male,Working Professional,"50,000–1,00,000",Tier 3/Rural,Occasionally,"Cocktails,Rum,Vodka",Neutral,Bar,Social gatherings,"Lime,Mango",Can,Pack of 6,Very interested,"Brand,Price,Flavour variety,Social cause,Packaging",Not at all,No,₹100–₹200,Likely,Limited flavour options,Yes,No,Always,Yes,Bar
35-44,Female,Working Professional,"20,000–50,000",Metro,Occasionally,Rum,Likely,Retail shop,At home,"Orange,Classic,Coffee",Glass bottle,Pack of 6,Interested,"Flavour variety,Brand,Price,Packaging,Social cause",Highly,Doesn’t matter,₹200–₹300,Likely,"Lack of availability,High price",No,Yes,Always,No,Retail shop
35-44,Male,Student,"20,000–50,000",Tier 2,Frequently,Whiskey,Likely,Restaurant,Social gatherings,"Mango,Lime,Guava",Glass bottle,Pack of 6,Interested,"Flavour variety,Price,Brand,Packaging,Social cause",Moderately,No,₹200–₹300,Likely,Lack of availability,No,Maybe,Often,No,Retail shop
18-24,Female,Working Professional,"50,000–1,00,000",Tier 1,Never,"Gin,Rum",Very likely,Retail shop,Social gatherings,"Coffee,Litchi",Glass bottle,Pack of 2,Very interested,"Brand,Flavour variety,Price,Social cause,Packaging",Extremely,Doesn’t matter,₹100–₹200,Likely,Limited flavour options,Yes,Maybe,Always,No,Other
18-24,Female,Entrepreneur,"20,000–50,000",Tier 3/Rural,Frequently,"Beer,Whiskey,Cocktails",Neutral,Retail shop,Restaurants,"Orange,Classic,Guava",Can,Pack of 6,Not interested,"Brand,Price,Flavour variety,Packaging,Social cause",Highly,Doesn’t matter,₹100–₹200,Neutral,"Poor packaging,High price,Health concerns",Yes,Maybe,Occasionally,Yes,Bar
18-24,Male,Working Professional,"<20,000",Metro,Occasionally,"Gin,Cocktails,Vodka",Very likely,Pub,Social gatherings,Mint,No preference,Pack of 12,Interested,"Flavour variety,Brand,Price,Social cause,Packaging",Highly,Yes,₹200–₹300,Likely,"Limited flavour options,Poor packaging,High price",Yes,Yes,Never,No,Retail shop
18-24,Male,Working Professional,"50,000–1,00,000",Tier 3/Rural,Occasionally,"Rum,Whiskey,Vodka",Likely,Duty-free,Bars/Pubs,"Coffee,Berry,Mint",Can,Pack of 12,Interested,"Brand,Price,Flavour variety,Social cause,Packaging",Not at all,Doesn’t matter,>₹300,Likely,"High price,Poor packaging",Yes,Yes,Occasionally,No,Retail shop
25-34,Male,Homemaker,"20,000–50,000",Metro,Occasionally,Beer,Likely,Bar,Social gatherings,"Litchi,Lime,Pineapple",No preference,Pack of 24,Very interested,"Price,Flavour variety,Brand,Packaging,Social cause",Highly,Doesn’t matter,₹200–₹300,Likely,"High price,Health concerns,Poor packaging",Yes,Yes,Always,No,Retail shop
18-24,Male,Working Professional,"<20,000",Tier 1,Frequently,"Gin,Whiskey",Likely,Online,At home,"Berry,Orange,Pineapple",Can,Pack of 6,Interested,"Price,Flavour variety,Brand,Packaging,Social cause",Moderately,Doesn’t matter,₹200–₹300,Neutral,"High price,Other,Not enough information/branding",Maybe,Yes,Occasionally,Yes,Bar
55+,Male,Working Professional,">1,00,000",Metro,Rarely,Beer,Very likely,Retail shop,Social gatherings,"Mint,Guava",Glass bottle,Pack of 6,Interested,"Flavour variety,Price,Brand,Social cause,Packaging",Highly,Yes,₹200–₹300,Likely,"Not enough information/branding,Lack of availability",No,No,Occasionally,Yes,Other
25-34,Male,Working Professional,"50,000–1,00,000",Tier 1,Rarely,"Whiskey,Beer",Neutral,Pub,Social gatherings,"Mint,Lime,Pineapple",Can,Pack of 24,Neutral,"Brand,Price,Flavour variety,Social cause,Packaging",Extremely,Doesn’t matter,₹100–₹200,Neutral,"Not enough information/branding,Limited flavour options",No,Yes,Occasionally,Yes,Retail shop
35-44,Female,Working Professional,"20,000–50,000",Tier 2,Occasionally,"Whiskey,Cocktails,Gin",Neutral,Retail shop,At home,Mango,No preference,Pack of 12,Interested,"Price,Brand,Flavour variety,Social cause,Packaging",Moderately,Doesn’t matter,₹100–₹200,Unlikely,Health concerns,Maybe,Yes,Often,No,Retail shop
55+,Female,Working Professional,"20,000–50,000",Tier 3/Rural,Occasionally,"Whiskey,Beer,Gin",Neutral,Retail shop,Social gatherings,"Lime,Pineapple",Can,Pack of 2,Interested,"Brand,Flavour variety,Price,Social cause,Packaging",Slightly,Yes,<₹100,Neutral,Not enough information/branding,No,Maybe,Occasionally,No,Bar
35-44,Female,Working Professional,">1,00,000",Tier 3/Rural,Occasionally,"Rum,Cocktails,Whiskey",Likely,Bar,At home,"Classic,Lime",Glass bottle,Pack of 6,Neutral,"Brand,Price,Flavour variety,Packaging,Social cause",Highly,Doesn’t matter,₹100–₹200,Neutral,Lack of availability,Yes,No,Occasionally,No,Restaurant
55+,Female,Entrepreneur,"<20,000",Tier 3/Rural,Occasionally,"Cocktails,Whiskey,Rum",Neutral,Restaurant,Outdoors,"Lime,Coffee,Pineapple",No preference,Pack of 12,Not interested,"Flavour variety,Brand,Price,Social cause,Packaging",Moderately,Yes,₹100–₹200,Very unlikely,"Not enough information/branding,Health concerns,Other",Maybe,Maybe,Occasionally,Yes,Restaurant
45-54,Female,Working Professional,"<20,000",Tier 2,Occasionally,"Cocktails,Whiskey,Rum",Likely,Online,At home,"Orange,Mint",Glass bottle,Pack of 6,Not interested,"Brand,Price,Flavour variety,Packaging,Social cause",Highly,Yes,>₹300,Likely,"Lack of availability,Other,Limited flavour options",Maybe,Maybe,Occasionally,Yes,Retail shop
35-44,Male,Working Professional,"<20,000",Metro,Frequently,"Beer,Whiskey,Cocktails",Neutral,Retail shop,At home,"Litchi,Pineapple,Berry",No preference,Pack of 6,Not interested,"Flavour variety,Price,Brand,Packaging,Social cause",Highly,Doesn’t matter,₹100–₹200,Very likely,"Other,Lack of availability,Limited flavour options",No,Yes,Often,Yes,Retail shop
35-44,Male,Working Professional,"20,000–50,000",Tier 2,Occasionally,Whiskey,Neutral,Retail shop,Social gatherings,"Classic,Berry,Mango",Can,Pack of 6,Neutral,"Price,Brand,Flavour variety,Social cause,Packaging",Highly,Yes,₹100–₹200,Neutral,Not enough information/branding,Yes,Maybe,Always,No,Other
25-34,Female,Working Professional,"20,000–50,000",Tier 3/Rural,Occasionally,"Gin,Vodka",Likely,Restaurant,At home,"Coffee,Mango",Glass bottle,Pack of 2,Very interested,"Brand,Price,Flavour variety,Social cause,Packaging",Extremely,Doesn’t matter,₹100–₹200,Very likely,Lack of availability,Yes,Yes,Occasionally,No,Online
35-44,Male,Working Professional,"50,000–1,00,000",Tier 3/Rural,Frequently,"Beer,Whiskey,Gin",Likely,Retail shop,At home,Mango,Glass bottle,Pack of 6,Neutral,"Price,Flavour variety,Brand,Social cause,Packaging",Highly,Yes,₹100–₹200,Likely,Health concerns,Yes,Maybe,Often,Yes,Restaurant
35-44,Female,Working Professional,">1,00,000",Metro,Occasionally,Beer,Unlikely,Duty-free,Outdoors,"Berry,Classic,Pineapple",Can,Pack of 2,Neutral,"Flavour variety,Brand,Price,Packaging,Social cause",Highly,Yes,₹200–₹300,Likely,"Not enough information/branding,Lack of availability,Other",No,No,Often,Yes,Retail shop
